PKEY,YEAR,STATE,TYPEOFPRODUCER,ENERGYSOURCE,GENERATION
1,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,5599506
2,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,COAL,510573
3,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,974521
4,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,3466261
5,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,497116
6,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,WIND,0
7,1990,AK,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,151035
8,1990,AK,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,4493024
9,1990,AK,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,311960
10,1990,AK,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,974521
11,1990,AK,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,2869638
12,1990,AK,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,336905
13,1990,AK,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",WIND,0
14,1990,AK,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,840949
15,1990,AK,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,596623
16,1990,AK,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,93291
17,1990,AK,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",WOOD AND WOOD DERIVED FUELS,151035
18,1990,AK,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,265533
19,1990,AK,"COMBINED HEAT AND POWER, COMMERCIAL POWER",COAL,198613
20,1990,AK,"COMBINED HEAT AND POWER, COMMERCIAL POWER",PETROLEUM,66920
21,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,79652133
22,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,COAL,53658115
23,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,10366507
24,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1020714
25,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,12051882
26,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,47503
27,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES,269476
28,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,138089
29,1990,AL,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,2099847
30,1990,AL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",TOTAL,27936
31,1990,AL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",OTHER BIOMASS,25310
32,1990,AL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",WOOD AND WOOD DERIVED FUELS,2626
33,1990,AL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,76231696
34,1990,AL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,53301276
35,1990,AL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,10366507
36,1990,AL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,420115
37,1990,AL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NUCLEAR,12051882
38,1990,AL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,91916
39,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,2726688
40,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",COAL,314241
41,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,567061
42,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER BIOMASS,22193
43,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER GASES,269476
44,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,46173
45,1990,AL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",WOOD AND WOOD DERIVED FUELS,1507544
46,1990,AL,"COMBINED HEAT AND POWER, ELECTRIC POWER",TOTAL,665813
47,1990,AL,"COMBINED HEAT AND POWER, ELECTRIC POWER",COAL,42598
48,1990,AL,"COMBINED HEAT AND POWER, ELECTRIC POWER",NATURAL GAS,33538
49,1990,AL,"COMBINED HEAT AND POWER, ELECTRIC POWER",WOOD AND WOOD DERIVED FUELS,589677
50,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,39099598
51,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,COAL,19207935
52,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,3654653
53,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,3578573
54,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,11282053
55,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,15389
56,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,79979
57,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,PUMPED STORAGE,42972
58,1990,AR,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,1238044
59,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,37053436
60,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,19160989
61,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,3654653
62,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,2838913
63,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NUCLEAR,11282053
64,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,73856
65,1990,AR,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PUMPED STORAGE,42972
66,1990,AR,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,1990788
67,1990,AR,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",COAL,46946
68,1990,AR,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,692117
69,1990,AR,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER BIOMASS,10560
70,1990,AR,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,3121
71,1990,AR,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",WOOD AND WOOD DERIVED FUELS,1238044
72,1990,AR,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,55374
73,1990,AR,"COMBINED HEAT AND POWER, COMMERCIAL POWER",NATURAL GAS,47543
74,1990,AR,"COMBINED HEAT AND POWER, COMMERCIAL POWER",OTHER BIOMASS,4829
75,1990,AR,"COMBINED HEAT AND POWER, COMMERCIAL POWER",PETROLEUM,3002
76,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,62774297
77,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,COAL,31915610
78,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,7417576
79,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,2333900
80,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,20597689
81,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,151867
82,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,PUMPED STORAGE,249767
83,1990,AZ,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,107888
84,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,62288980
85,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,31636037
86,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,7417576
87,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,2271504
88,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NUCLEAR,20597689
89,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,116407
90,1990,AZ,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PUMPED STORAGE,249767
91,1990,AZ,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,455233
92,1990,AZ,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",COAL,279573
93,1990,AZ,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,33526
94,1990,AZ,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,34246
95,1990,AZ,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",WOOD AND WOOD DERIVED FUELS,107888
96,1990,AZ,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,30084
97,1990,AZ,"COMBINED HEAT AND POWER, COMMERCIAL POWER",NATURAL GAS,28870
98,1990,AZ,"COMBINED HEAT AND POWER, COMMERCIAL POWER",PETROLEUM,1214
99,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,165784909
100,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,COAL,2637677
101,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,GEOTHERMAL,14521254
102,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,23792567
103,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,74168308
104,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,32692807
105,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0
106,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,2117915
107,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES,2146742
108,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,5473852
109,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,PUMPED STORAGE,986252
110,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,SOLAR THERMAL AND PHOTOVOLTAIC,366668
111,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,WIND,2758881
112,1990,CA,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,4121986
113,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",TOTAL,15407378
114,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",COAL,111785
115,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",GEOTHERMAL,6091851
116,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",HYDROELECTRIC CONVENTIONAL,976870
117,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",NATURAL GAS,383704
118,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",OTHER BIOMASS,1931950
119,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",OTHER GASES,323
120,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",PETROLEUM,431308
121,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",SOLAR THERMAL AND PHOTOVOLTAIC,364639
122,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",WIND,2758838
123,1990,CA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",WOOD AND WOOD DERIVED FUELS,2356110
124,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,114528000
125,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",GEOTHERMAL,8429403
126,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,22808272
127,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,45221848
128,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NUCLEAR,32692807
129,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",OTHER BIOMASS,2111
130,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,4385235
131,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PUMPED STORAGE,986252
132,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",SOLAR THERMAL AND PHOTOVOLTAIC,2029
133,1990,CA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",WIND,43
134,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,16572153
135,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",COAL,1024772
136,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,11100821
137,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER,0
138,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER BIOMASS,65528
139,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER GASES,2025432
140,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,635949
141,1990,CA,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",WOOD AND WOOD DERIVED FUELS,1719651
142,1990,CA,"COMBINED HEAT AND POWER, ELECTRIC POWER",TOTAL,17547076
143,1990,CA,"COMBINED HEAT AND POWER, ELECTRIC POWER",COAL,1501120
144,1990,CA,"COMBINED HEAT AND POWER, ELECTRIC POWER",NATURAL GAS,15899278
145,1990,CA,"COMBINED HEAT AND POWER, ELECTRIC POWER",OTHER BIOMASS,91472
146,1990,CA,"COMBINED HEAT AND POWER, ELECTRIC POWER",PETROLEUM,8981
147,1990,CA,"COMBINED HEAT AND POWER, ELECTRIC POWER",WOOD AND WOOD DERIVED FUELS,46225
148,1990,CA,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,1730302
149,1990,CA,"COMBINED HEAT AND POWER, COMMERCIAL POWER",HYDROELECTRIC CONVENTIONAL,7425
150,1990,CA,"COMBINED HEAT AND POWER, COMMERCIAL POWER",NATURAL GAS,1562657
151,1990,CA,"COMBINED HEAT AND POWER, COMMERCIAL POWER",OTHER BIOMASS,26854
152,1990,CA,"COMBINED HEAT AND POWER, COMMERCIAL POWER",OTHER GASES,120987
153,1990,CA,"COMBINED HEAT AND POWER, COMMERCIAL POWER",PETROLEUM,12379
154,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,32548127
155,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,COAL,29814983
156,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,1419870
157,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1290092
158,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,28990
159,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,27390
160,1990,CO,TOTAL ELECTRIC POWER INDUSTRY,PUMPED STORAGE,-33198
161,1990,CO,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",TOTAL,225959
162,1990,CO,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",HYDROELECTRIC CONVENTIONAL,110909
163,1990,CO,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",NATURAL GAS,115050
164,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,31312872
165,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,29602738
166,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,1308961
167,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,409078
168,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",OTHER BIOMASS,164
169,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,25129
170,1990,CO,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PUMPED STORAGE,-33198
171,1990,CO,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,53888
172,1990,CO,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,51627
173,1990,CO,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,2261
174,1990,CO,"COMBINED HEAT AND POWER, ELECTRIC POWER",TOTAL,930200
175,1990,CO,"COMBINED HEAT AND POWER, ELECTRIC POWER",COAL,212245
176,1990,CO,"COMBINED HEAT AND POWER, ELECTRIC POWER",NATURAL GAS,714337
177,1990,CO,"COMBINED HEAT AND POWER, ELECTRIC POWER",OTHER BIOMASS,3618
178,1990,CO,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,25208
179,1990,CO,"COMBINED HEAT AND POWER, COMMERCIAL POWER",OTHER BIOMASS,25208
180,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,35147247
181,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,COAL,3594645
182,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,570619
183,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,1251479
184,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,19776250
185,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,OTHER,0
186,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,1073310
187,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES,4
188,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,8874466
189,1990,CT,TOTAL ELECTRIC POWER INDUSTRY,PUMPED STORAGE,6474
190,1990,CT,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",TOTAL,672825
191,1990,CT,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",HYDROELECTRIC CONVENTIONAL,67239
192,1990,CT,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",OTHER BIOMASS,605586
193,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,32155574
194,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,2351049
195,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,495848
196,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,471836
197,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NUCLEAR,19776250
198,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",OTHER BIOMASS,421546
199,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,8632571
200,1990,CT,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PUMPED STORAGE,6474
201,1990,CT,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,190315
202,1990,CT,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",HYDROELECTRIC CONVENTIONAL,7532
203,1990,CT,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,10612
204,1990,CT,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER,0
205,1990,CT,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,172171
206,1990,CT,"COMBINED HEAT AND POWER, ELECTRIC POWER",TOTAL,1986751
207,1990,CT,"COMBINED HEAT AND POWER, ELECTRIC POWER",COAL,1243596
208,1990,CT,"COMBINED HEAT AND POWER, ELECTRIC POWER",NATURAL GAS,654360
209,1990,CT,"COMBINED HEAT AND POWER, ELECTRIC POWER",OTHER BIOMASS,46178
210,1990,CT,"COMBINED HEAT AND POWER, ELECTRIC POWER",OTHER GASES,4
211,1990,CT,"COMBINED HEAT AND POWER, ELECTRIC POWER",PETROLEUM,42613
212,1990,CT,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,141782
213,1990,CT,"COMBINED HEAT AND POWER, COMMERCIAL POWER",NATURAL GAS,114671
214,1990,CT,"COMBINED HEAT AND POWER, COMMERCIAL POWER",PETROLEUM,27111
215,1990,DC,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,361043
216,1990,DC,TOTAL ELECTRIC POWER INDUSTRY,COAL,0
217,1990,DC,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,361043
218,1990,DC,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,361043
219,1990,DC,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,361043
220,1990,DC,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,0
221,1990,DC,"COMBINED HEAT AND POWER, COMMERCIAL POWER",COAL,0
222,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,7841500
223,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,COAL,5113479
224,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,763019
225,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,OTHER,6315
226,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,OTHER GASES,164881
227,1990,DE,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,1793806
228,1990,DE,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,7099663
229,1990,DE,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,4904473
230,1990,DE,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,759004
231,1990,DE,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,1436186
232,1990,DE,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,741837
233,1990,DE,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",COAL,209006
234,1990,DE,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,4015
235,1990,DE,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER,6315
236,1990,DE,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER GASES,164881
237,1990,DE,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,357620
238,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,131502553
239,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,COAL,60100257
240,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,174604
241,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,18642683
242,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,21779560
243,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1453102
244,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,1673078
245,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,25535138
246,1990,FL,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,2144131
247,1990,FL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",TOTAL,1695776
248,1990,FL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",NATURAL GAS,1166
249,1990,FL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",OTHER BIOMASS,1542643
250,1990,FL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",PETROLEUM,769
251,1990,FL,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",WOOD AND WOOD DERIVED FUELS,151198
252,1990,FL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,123623905
253,1990,FL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,59073203
254,1990,FL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,174604
255,1990,FL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,17504242
256,1990,FL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NUCLEAR,21779560
257,1990,FL,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",PETROLEUM,25092296
258,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",TOTAL,5290804
259,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",COAL,383736
260,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",NATURAL GAS,928175
261,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER,1453102
262,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",OTHER BIOMASS,97705
263,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",PETROLEUM,435153
264,1990,FL,"COMBINED HEAT AND POWER, INDUSTRIAL POWER",WOOD AND WOOD DERIVED FUELS,1992933
265,1990,FL,"COMBINED HEAT AND POWER, ELECTRIC POWER",TOTAL,647307
266,1990,FL,"COMBINED HEAT AND POWER, ELECTRIC POWER",COAL,643318
267,1990,FL,"COMBINED HEAT AND POWER, ELECTRIC POWER",PETROLEUM,3989
268,1990,FL,"COMBINED HEAT AND POWER, COMMERCIAL POWER",TOTAL,244761
269,1990,FL,"COMBINED HEAT AND POWER, COMMERCIAL POWER",NATURAL GAS,209100
270,1990,FL,"COMBINED HEAT AND POWER, COMMERCIAL POWER",OTHER BIOMASS,32730
271,1990,FL,"COMBINED HEAT AND POWER, COMMERCIAL POWER",PETROLEUM,2931
272,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,TOTAL,102686240
273,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,COAL,68545692
274,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,HYDROELECTRIC CONVENTIONAL,4589117
275,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,NATURAL GAS,830180
276,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,NUCLEAR,24796884
277,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,OTHER,1
278,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,OTHER BIOMASS,135457
279,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,PETROLEUM,499480
280,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,PUMPED STORAGE,342110
281,1990,GA,TOTAL ELECTRIC POWER INDUSTRY,WOOD AND WOOD DERIVED FUELS,2947319
282,1990,GA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",TOTAL,8021
283,1990,GA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",HYDROELECTRIC CONVENTIONAL,7982
284,1990,GA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",NATURAL GAS,24
285,1990,GA,"ELECTRIC GENERATORS, INDEPENDENT POWER PRODUCERS",PETROLEUM,15
286,1990,GA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",TOTAL,97565058
287,1990,GA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",COAL,67564750
288,1990,GA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",HYDROELECTRIC CONVENTIONAL,4544712
289,1990,GA,"ELECTRIC GENERATORS, ELECTRIC UTILITIES",NATURAL GAS,151615
